'JSP400.principalBase_mem_sectionDomain' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_principalFrame' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_principalCorrection' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_principalSection' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalFrame_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalSection_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalSection_right_coset' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalOrbitMap_principalSection' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalOrbitMap_principalSection_of_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.adjointAction_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentOne_log_polynomial' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalNormalizer_adjoint_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.factor_of_adjoint_base_scaled' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalNormalizer_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.subset_principalOrbitUnion' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.closure_principalOrbitUnion_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalOrbitUnion_subset_range' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalSection_mem_doubleOrbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalSection_mem_closure_doubleOrbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_closure_diff_singleton_of_preconnected_noncompact' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'JSP400.principal_normalizer_enlargement_of_outside_normalizer' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'JSP400.principalDoubleOrbit_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalNormalizerReturn_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.subset_principalDoubleOrbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalNormalizerReturn_subset_enlargementGroup' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalUnipotent_le_enlargementGroup' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma5_II_alternative' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_stabilizer_quotient_of_local_cover' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma4_of_open_orbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.isOpenMap_latticeOrbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.exists_compact_minimal_subgroup' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.subgroupInvariant_orbit_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.exists_minimal_subsystem_of_compact_orbit_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.isCompact_orbit_of_compact_stabilizer_quotient' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_orbit_of_no_transverse_returns' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalUnipotent_le_standardStabilizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentTwo_conjugates_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentTwo_mem_principalNormalizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.diagonalFlow_conjugates_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.diagonalFlow_mem_principalNormalizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compactSpace_of_compact_subgroup_quotient' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_quotient_of_surjective_hom' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_stabilizer_quotient_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.lemma7Hull_subset_hitting' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.no_transverse_returns_of_diagonal_minimal' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.standardStabilizer_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_H_orbit_of_diagonal_minimal' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_H_stabilizer_quotient_of_diagonal_minimal' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.ext' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.continuous_slope' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.continuous_offset' depends on axioms: [propext, Classical.choice, Quot.sound]
